"iso3c","year","pop","urban","rural"
"DJI",2004,818373,556066.732406861,168419.534857577
"DJI",2005,830861,566379.935994107,171516.053828498
"DJI",2006,846947,575908.527924416,174089.996186302
"DJI",2007,865196,581600.007397168,174854.021516512
"DJI",2008,882886,590063.722836244,177112.333868699
"DJI",2009,901103,598186.88873525,179270.294294881
"DJI",2010,919199,606402.966060668,181457.986790673
"DJI",2011,936811,616583.280939272,183958.130295225
"DJI",2012,954297,627771.018875675,185561.727638251
"DJI",2013,971753,638055.143642469,188097.181073791
"DJI",2014,989087,650054.039735635,190866.930815995
"DJI",2015,1006259,661446.009426996,192537.905251034
"DJI",2016,1023261,673662.926662894,195371.464367351
"DJI",2017,1040233,683549.743182537,196877.045815697
"DJI",2018,1057198,695075.094731545,198592.884209013
"DJI",2019,1073994,705076.564673546,200138.920701605
"DJI",2020,1090156,716411.229218571,200888.680152198
"DJI",2021,1105557,727327.49193393,202697.825620931
"DJI",2022,1120849,739232.492512372,203609.942106385
"DJI",2023,1136455,749293.196826975,204269.416738894
"DJI",2024,1152329,760811.365504123,205080.31994335
"DJI",2025,1168257,772292.397991195,205883.636905236
"DJI",2026,1184178,782139.171644803,206499.360737997
"DJI",2027,1200065,793643.677634128,207315.437080491
"DJI",2028,1215879,802833.176656559,206859.399660657
"DJI",2029,1231575,813733.633761647,206619.166514423
"DJI",2030,1247129,823088.870517805,206226.460935477
"DJI",2031,1262554,832526.767171939,205864.462034891
"DJI",2032,1277807,841347.715265294,204456.541559093
"DJI",2033,1292873,851016.302451981,204171.63944177
"DJI",2034,1307741,860083.151021494,202849.79976922
"DJI",2035,1322377,867668.599801721,201407.011767446
"DJI",2036,1336717,877074.204936423,200191.962846287
"DJI",2037,1350696,884352.955809449,197815.79274685
"DJI",2038,1364395,892542.848661861,196555.982688298
"DJI",2039,1377832,899276.544600503,195184.899174936
"DJI",2040,1390928,905499.062496405,192829.535389323
"DJI",2041,1403695,912666.213101849,191580.079718172
"DJI",2042,1416095,919335.920259587,189353.11543364
"DJI",2043,1428098,926993.805747225,188226.578288045
"DJI",2044,1439706,932552.896216311,185981.721268092
"DJI",2045,1450909,938371.737993217,183804.773421352
"DJI",2046,1461817,943500.451834942,182556.366494575
"DJI",2047,1472461,949675.407362232,180473.37077179
"DJI",2048,1482795,954435.373736761,178301.113774999
"DJI",2049,1492843,959377.509892199,176176.597271113
"DJI",2050,1502575,962912.999351114,173968.021562984
"ERI",1990,2149960,853107.03454948,3657207.5759549
"ERI",1991,2039220,940292.857072802,3857808.37771305
"ERI",1992,1921153,1027678.17034874,4036031.4873412
"ERI",1993,1981419,1018183.93787483,3828746.97375971
"ERI",1994,2042500,1013481.02815177,3646115.05507956
"ERI",1995,2157220,996949.777954961,3429163.46037956
"ERI",1996,2264073,999179.796764504,3289310.90119444
"ERI",1997,2291561,1051442.22649975,3311629.05984174
"ERI",1998,2322753,1114570.51180216,3360367.63271859
"ERI",1999,2356477,1191057.66786606,3435851.06071479
